frame,cpu_ms,gpu_ms
276,1.1428,4.9532
277,1.1218,4.9486
278,0.9099,4.8257
279,0.8392,4.9792
280,0.9340,5.0708
281,0.9160,4.6503
282,1.0661,9.4440
283,0.9106,4.8042
284,0.9844,4.7209
285,0.8848,4.9987
286,0.9299,5.0248
287,0.9373,5.1118
288,1.1517,4.8970
289,0.9758,4.8155
290,0.9508,4.7890
291,0.8633,5.0602
292,0.8676,4.9665
293,1.0474,4.7133
294,0.8334,4.8890
295,0.8984,4.8348
296,0.8964,4.8746
297,0.9976,5.0927
298,0.9861,4.7549
299,1.1952,4.9363
300,1.1489,5.2268
301,1.1463,4.9696
302,1.0020,5.2716
303,1.3136,5.0222
304,0.9021,5.0112
305,1.3116,5.0293
306,1.2306,4.9876
307,1.0790,4.8440
308,0.8915,5.0762
309,0.9214,4.9482
310,0.8093,4.9912
311,0.8801,5.2402
312,0.8338,4.9946
313,1.4504,16.6131
314,0.8749,4.9864
315,0.9800,7.7539
316,0.8605,8.3264
317,0.9284,8.1124
318,1.1275,6.3327
319,2.8387,6.6393
320,1.4057,6.5076
321,1.4692,6.8321
322,1.2809,5.3804
323,1.1629,4.7020
324,1.2655,5.7267
325,1.1588,4.7445
326,1.0909,4.7412
327,1.4548,4.9918
328,1.5957,5.1220
329,1.5415,4.8690
330,1.1370,6.5029
331,1.4089,4.7665
332,1.3258,6.4341
333,1.2738,5.9001
334,1.2348,5.1761
335,1.5916,6.6209
336,1.2625,5.4686
337,1.3797,4.9377
338,1.5343,6.0546
339,1.2243,5.7071
340,1.1721,5.4843
341,1.2503,7.9184
342,1.0114,7.5581
343,1.1355,5.2274
344,1.0883,8.1455
345,0.8806,8.7443
346,0.9205,5.7905
347,0.9268,6.7584
348,1.2579,7.8650
349,0.9849,5.1843
350,1.0036,7.3148
351,1.4727,6.8472
352,0.8631,5.4313
353,1.6820,7.6082
354,1.1820,7.0700
355,1.2895,5.2805
356,1.1862,7.6962
357,1.1300,7.0732
358,1.2890,8.4080
359,1.0831,6.4254
360,1.1558,5.9106
361,1.2199,4.9463
362,1.8784,6.2186
363,1.2487,6.7284
364,1.0106,6.9302
365,1.1141,6.4406
366,1.7994,6.8144
367,1.1625,5.9740
368,1.1196,6.9524
369,1.0570,5.9542
370,1.0251,6.4154
371,0.9813,7.3069
372,0.8478,5.6982
373,1.4575,6.0889
374,0.9621,5.4196
375,0.9867,12.4308
376,1.0880,7.2869
377,1.2546,6.4371
378,0.9626,6.7735
379,1.4601,5.9711
380,1.1010,6.4577
381,0.9578,5.8488
382,1.3451,6.1261
383,1.0329,8.7445
384,0.9624,7.8973
385,1.3198,6.8462
386,0.9376,7.1506
387,0.9536,7.1873
388,0.9759,6.1868
389,0.9411,6.7433
390,1.0494,6.9304
391,1.2608,7.5908
392,1.0355,7.8954
393,0.9322,7.1282
394,1.3287,7.0810
395,0.9321,8.0618
396,0.8319,7.1757
397,1.1373,7.8587
398,0.8791,7.3277
399,0.8950,6.9579
400,1.0023,7.1756
401,1.0957,6.5846
402,1.2318,5.6290
403,1.5138,6.1081
404,1.2942,6.2283
405,0.9415,5.8854
406,1.0997,19.7626
407,0.8443,6.6769
408,0.8852,6.5054
409,1.1104,7.2727
410,0.8776,6.0490
411,1.1658,6.4226
412,1.5108,6.2120
413,1.4372,7.0733
414,1.5188,5.6228
415,1.2864,6.5059
416,1.1848,5.6783
417,1.2017,5.5065
418,1.1484,6.0164
419,1.0266,6.5066
420,1.4886,5.7334
421,1.2742,6.0218
422,0.9580,5.7530
423,1.0178,5.6531
424,0.9944,6.4252
425,0.9267,8.3125
426,1.2184,7.1393
427,1.0023,7.7372
428,0.9454,7.4431
429,1.2774,7.8193
430,0.9363,8.7573
431,0.8749,6.9058
432,1.1465,7.9255
433,0.8476,7.8273
434,0.9504,8.7143
435,0.8708,7.5724
436,0.8639,8.3783
437,0.9995,12.0836
438,0.8896,7.7319
439,1.0065,7.2884
440,0.9452,6.5946
441,1.1288,5.4725
442,0.9021,5.2714
443,0.9578,5.5770
444,1.1586,5.0655
445,1.0204,5.0470
446,1.3459,4.8280
447,1.3080,6.1422
448,1.1405,4.9992
449,1.7283,7.2084
450,1.2659,6.0640
451,1.2734,6.0549
452,1.4495,5.4647
453,1.3617,5.8154
454,1.3493,5.4134
455,1.0400,5.9652
456,1.1146,4.8385
457,1.4933,4.8166
458,0.9410,5.5086
459,0.8971,4.7249
460,1.0769,5.4469
461,0.9231,5.2345
462,1.1153,4.8855
463,1.2420,5.1798
464,1.1235,5.3395
465,0.9244,4.7803
466,0.8976,5.7356
467,0.9849,5.7087
468,1.4677,18.1194
469,0.8117,7.4760
470,1.4071,5.1596
471,1.0299,6.9940
472,1.0398,6.4239
473,1.4454,5.3079
474,1.4920,6.2055
475,0.8829,5.0184
476,1.8939,5.1658
477,1.0107,5.7027
478,1.0365,5.4713
479,1.6117,5.7687
480,1.0894,7.4970
481,1.4414,5.1045
482,0.8890,5.1949
483,1.8344,6.2777
