frame,cpu_grayscale_ms,cpu_blur_ms,cpu_equalize_ms,cpu_morphology_ms,cpu_canny_ms,cpu_total_ms,gpu_grayscale_ms,gpu_blur_ms,gpu_equalize_ms,gpu_morphology_ms,gpu_canny_ms,gpu_total_ms,speedup
72,0.1921,0.2935,0.8845,0.6376,1.2598,3.2675,0.1171,0.0947,0.4061,6.9119,0.3929,8.6648,0.3771
73,0.2003,0.2927,0.8631,0.6425,1.3489,3.3475,0.1029,0.1090,0.1814,6.5776,0.2412,7.8149,0.4283
74,0.7136,0.3369,0.8911,0.6641,1.2640,3.8698,0.1162,0.1176,0.7455,6.7435,0.3330,8.6695,0.4464
75,0.2066,0.2207,0.8255,0.6351,2.3528,4.2406,0.1021,0.0886,0.1752,6.0006,0.2076,7.1033,0.5970
76,0.2730,0.3646,0.8909,0.6527,1.3012,3.4824,0.1080,0.0906,0.1822,7.0984,0.4481,8.5573,0.4069
77,0.4604,0.3503,0.8223,0.6690,1.2300,3.5319,0.1125,0.0951,0.2631,6.5063,0.3403,7.9427,0.4447
78,0.2487,0.3319,1.0458,0.9239,1.2861,3.8363,0.1229,0.1261,0.2615,8.0552,0.2836,9.6377,0.3981
79,0.2666,0.3474,0.8564,0.6705,1.3776,3.5184,0.1019,0.0838,0.1740,6.2842,0.2819,7.5545,0.4657
80,0.4869,0.6841,1.2058,0.6826,1.2628,4.3221,0.1184,0.0920,0.7610,6.2444,0.2171,8.0142,0.5393
81,0.3965,0.3699,2.6667,0.6821,1.5894,5.7045,0.1209,0.0931,0.8005,6.4744,0.2883,8.3865,0.6802
82,0.4609,0.3798,0.9778,0.6608,1.7254,4.2047,0.1039,0.1083,0.1819,6.1278,0.1942,7.2423,0.5806
83,0.2755,0.2849,1.2461,0.6830,1.3295,3.8190,0.1087,0.0950,0.1848,6.9432,0.4194,8.3942,0.4550
84,0.2899,0.2257,1.2321,0.6982,1.4863,3.9322,0.1054,0.0927,0.1873,7.1468,0.4469,8.6095,0.4567
85,0.2543,0.3831,0.9169,0.9902,1.5535,4.0980,0.1846,0.1221,0.2323,8.5845,0.6953,10.8539,0.3776
86,0.1310,0.0916,0.2664,0.2680,0.9910,1.7481,0.1117,0.1388,0.1996,6.4378,0.2484,7.8687,0.2222
87,0.4269,0.2690,3.5278,0.6835,1.6455,6.5527,0.1118,0.0894,0.2009,6.7700,0.3853,8.1493,0.8041
88,0.2271,0.1830,0.5744,0.6616,1.9276,3.5738,0.1116,0.0890,0.2202,6.3927,0.2299,7.6145,0.4693
89,0.4077,0.3906,0.8404,0.6733,1.4756,3.7876,0.1059,0.0971,0.1956,6.8124,0.2246,8.0285,0.4718
90,0.3992,0.3194,1.1808,0.6373,1.3614,3.8980,0.1108,0.0945,0.1881,7.5189,0.2330,8.7079,0.4476
91,0.1790,0.3294,1.0351,0.7114,1.8179,4.0728,0.1263,0.1227,0.1944,6.8512,0.4610,8.4095,0.4843
92,0.1773,0.2098,0.8418,0.6444,1.5305,3.4038,0.1095,0.0996,0.2144,6.4891,0.2417,7.7392,0.4398
93,0.1025,0.1450,0.4213,0.4828,3.9721,5.1237,0.1151,0.0956,0.1974,5.2123,0.2204,6.4334,0.7964
94,0.1233,0.2393,1.5058,0.6846,1.4592,4.0121,0.1173,0.9879,0.2243,5.6451,0.2551,7.8239,0.5128
95,0.0510,0.1133,0.2526,0.1461,0.3939,0.9569,0.1078,0.0968,0.1285,6.4015,0.4437,7.7834,0.1229
96,0.2756,0.1761,0.8522,0.6593,1.4195,3.3827,0.1098,0.0968,0.2107,6.4579,0.4475,7.9577,0.4251
97,0.2175,0.1375,0.8041,0.6528,1.2789,3.0909,0.1146,0.0980,0.1916,5.3669,0.2111,6.5801,0.4697
98,0.4891,0.3572,0.9894,0.6235,1.3633,3.8226,0.1157,0.0942,0.2100,6.8918,0.2635,8.1857,0.4670
99,0.2993,0.3400,0.9847,0.6565,1.4217,3.7021,0.1344,0.1002,0.1760,6.8603,0.2546,8.1601,0.4537
100,0.4109,0.3248,0.9681,0.6890,1.6293,4.0221,0.1110,0.0890,0.2119,6.4955,0.2732,7.8106,0.5150
101,0.2209,0.1692,0.7231,0.6667,1.5243,3.3041,0.1155,0.0919,0.1885,7.3818,0.4799,8.8853,0.3719
102,0.3653,0.2303,0.9115,0.6604,1.5700,3.7377,0.1580,0.1162,0.2176,6.8259,0.2667,8.2286,0.4542
103,0.2662,0.3326,1.0172,0.6859,1.4004,3.7023,0.1153,0.0948,0.1888,6.2952,0.2138,7.5005,0.4936
104,0.3164,0.2490,0.9423,0.6741,1.3880,3.5699,0.1266,0.0895,0.1884,5.9794,0.2496,7.1853,0.4968
105,0.6431,0.3352,1.0735,0.6729,1.4690,4.1937,0.1150,0.0981,0.1891,6.9186,0.3466,8.2691,0.5071
106,0.2443,0.1541,0.4931,0.6280,1.4529,2.9724,0.1165,0.0946,0.1935,6.9039,0.4690,8.5039,0.3495
107,0.0773,0.2296,0.3851,0.3989,1.6233,2.7143,0.1611,0.0999,0.1907,6.7981,0.5973,8.5996,0.3156
108,0.0520,0.1794,0.2985,0.1657,0.7579,1.4535,0.0986,0.0762,0.5517,5.2310,0.2042,6.6830,0.2175
109,0.3144,0.2634,0.8897,0.6492,1.6810,3.7978,0.1276,0.1013,0.1982,6.9716,0.3685,8.3980,0.4522
110,0.2342,0.2406,1.0369,0.7503,5.9661,8.2281,0.1341,0.2106,0.2114,6.7658,0.2218,8.1895,1.0047
111,0.1624,0.1085,0.3022,0.2080,1.3207,2.1019,0.1230,0.0918,0.1936,6.9130,0.3627,8.4001,0.2502
112,0.0998,0.0701,0.1444,0.1116,0.2117,0.6376,0.0319,0.0233,0.0854,4.9045,0.1549,5.3737,0.1187
113,0.1475,0.1060,0.3020,0.2170,0.9120,1.6845,0.1383,0.1084,0.2140,8.6374,0.2226,9.8995,0.1702
114,0.0896,0.1263,0.3788,0.2303,1.3356,2.1607,0.1146,0.0964,0.1869,6.8582,0.2445,8.1069,0.2665
115,0.1810,0.1516,0.5615,0.9144,1.4539,3.2624,0.1683,0.1335,0.2447,9.1295,0.9528,11.6797,0.2793
116,0.1751,0.1895,0.8324,0.6462,1.1722,3.0154,0.1067,0.0900,0.1852,8.6050,0.2812,9.8401,0.3064
117,0.3494,0.9694,0.9050,0.6269,1.3023,4.1530,0.1074,0.0858,0.1791,6.7274,0.3533,8.0857,0.5136
118,0.1809,0.1242,2.6303,0.6307,1.3200,4.8862,0.1026,0.0900,0.1806,6.7021,0.4215,8.1149,0.6021
119,0.1255,0.0811,0.5379,0.5037,0.9820,2.2302,0.0898,0.0689,0.1379,6.3363,0.2212,7.3457,0.3036
120,0.4097,0.5464,0.9044,0.6624,1.1669,3.6899,0.1014,0.0859,0.1762,7.1927,0.2688,8.4263,0.4379
121,0.6472,0.3313,1.0019,0.7323,1.5153,4.2280,0.1128,0.0946,0.1992,7.2168,0.4974,8.7937,0.4808
122,0.5279,0.3579,0.9030,0.6633,1.4138,3.8658,0.3436,0.1100,0.2011,7.0001,0.4390,8.7669,0.4410
123,0.1407,0.0978,0.3008,0.1886,0.7673,1.4952,0.0897,0.0749,0.1531,5.5158,0.1772,6.4734,0.2310
124,0.3569,0.3098,1.0365,0.8592,1.2152,3.7777,0.1015,0.0905,0.1777,6.8144,0.2248,7.9612,0.4745
125,0.5209,0.7540,2.3647,0.7302,1.3475,5.7172,0.1217,0.0939,0.1944,6.7657,0.2078,8.2750,0.6909
126,0.1097,0.0715,0.1839,0.1430,0.2766,0.7846,0.0777,0.0602,0.1291,4.7268,0.1239,5.5023,0.1426
127,0.1775,0.3210,0.8949,0.6522,1.1958,3.2414,0.1030,0.0872,0.1751,6.6579,0.2809,7.9273,0.4089
128,0.2730,0.6632,1.3162,0.6915,1.2141,4.1581,0.1263,0.0883,0.1800,6.9213,0.3352,8.2406,0.5046
129,0.2686,0.3884,1.0378,0.6336,1.2720,3.6005,0.1107,0.0956,0.2149,7.1102,0.3159,8.4690,0.4251
130,0.4422,0.3958,1.0363,0.6676,1.5025,4.0444,0.1022,0.0874,0.1963,5.7871,0.3342,7.0906,0.5704
131,0.1453,0.1712,0.9114,0.6385,1.2115,3.0778,0.1124,0.0909,0.1856,5.7738,0.1950,6.9533,0.4426
132,0.1064,0.0620,0.1340,0.1034,0.1780,0.5838,0.0287,0.0199,0.0875,3.2554,0.1129,3.6688,0.1591
133,0.0561,0.0688,0.1279,0.1254,0.2227,0.6009,0.0342,0.0224,0.0855,3.4066,0.1225,3.8540,0.1559
134,0.2646,0.1781,1.1795,0.7507,1.1927,3.5656,0.1325,0.0932,0.1916,6.1725,0.2052,7.3912,0.4824
135,0.3797,0.3569,0.9017,0.6797,1.1376,3.4555,0.1152,0.0913,0.1855,6.8024,0.3217,8.1672,0.4231
136,0.1819,0.3600,0.9137,0.6417,1.1477,3.2450,0.1107,0.0995,0.1781,6.7597,0.3040,8.1165,0.3998
137,0.2738,0.3668,0.9231,0.6459,3.1081,5.3177,0.1242,0.0982,0.1917,5.8355,0.2781,7.1315,0.7457
138,0.0651,0.0834,0.1766,0.1189,0.2584,0.7025,0.0283,0.0222,0.0865,5.1140,0.1313,5.5474,0.1266
139,0.0708,0.0688,0.1280,0.1016,0.1858,0.5551,0.0251,0.0182,0.0891,3.1548,0.1087,3.5466,0.1565
140,0.1185,0.2803,1.3350,0.6762,1.1791,3.5891,0.1020,0.0908,0.1831,6.5002,0.2905,7.7809,0.4613
141,0.1671,0.3028,2.0685,0.6827,1.3576,4.5787,0.1220,0.0976,0.1899,6.5002,0.2766,7.8147,0.5859
142,0.1018,0.1965,0.9265,0.6398,3.7612,5.6258,0.0896,0.1045,0.1589,5.3632,0.1968,6.4003,0.8790
143,0.4817,0.3516,1.1547,0.7011,1.2213,3.9104,0.1108,0.1093,0.1868,6.3079,0.2226,7.5221,0.5199
144,0.1866,0.4060,1.3825,0.6804,1.1911,3.8466,0.1469,0.0988,0.1992,6.6949,0.4271,8.2182,0.4681
145,0.2778,0.9949,2.8365,0.6756,1.8944,6.6792,0.0917,0.0763,0.1617,6.4092,0.3135,7.7032,0.8671
146,0.1965,0.3068,1.2878,0.5897,1.3970,3.7778,0.1296,0.0992,0.1970,6.4122,0.2765,7.7223,0.4892
147,0.4917,0.3624,0.9415,0.6635,1.2391,3.6982,0.1099,0.0882,0.1782,6.2693,0.2963,7.5225,0.4916
148,0.4873,0.3291,0.9871,0.8303,1.4989,4.1328,0.1199,0.0933,0.2152,7.1293,0.4175,8.5807,0.4816
149,0.4757,0.3585,0.9777,0.6420,1.4272,3.8811,0.1128,0.0952,0.2182,6.5108,0.4713,8.0116,0.4844
150,0.5029,0.3898,2.9045,0.6862,1.3295,5.8130,0.1089,0.0933,0.1893,6.2818,0.2156,7.4746,0.7777
151,0.2461,0.2709,0.8943,0.6695,1.9797,4.0606,0.1115,0.0907,0.1878,5.6961,0.2383,6.8955,0.5889
152,0.1888,0.1461,0.3678,0.6563,1.3826,2.7416,0.1354,0.0903,0.2055,6.1163,0.2254,7.3049,0.3753
153,0.4773,0.3562,0.9646,0.6634,1.4806,3.9421,0.1138,0.0949,0.2114,6.3346,0.2666,7.6262,0.5169
154,0.1858,0.3226,1.0433,0.6777,1.1667,3.3960,0.1150,0.0937,0.1885,6.5930,0.3308,7.9134,0.4291
155,0.4980,0.3062,0.8499,0.6447,1.3936,3.6925,0.1021,0.1039,0.1776,6.2840,0.2977,7.6026,0.4857
156,0.2799,0.4039,0.8692,0.6486,1.4449,3.6465,0.1042,0.0862,0.1814,6.6674,0.2245,7.8042,0.4672
157,0.5363,0.3779,0.9919,0.7009,1.5226,4.1296,0.1231,0.0951,0.1904,6.8686,0.4885,8.4418,0.4892
158,0.3888,0.2912,0.7609,0.6518,1.2247,3.3174,0.1111,0.0918,0.1892,6.2375,0.2835,7.5516,0.4393
159,0.5081,0.3221,0.8609,0.6639,1.2218,3.5768,0.1343,0.1028,0.2633,6.4955,0.3323,7.9162,0.4518
160,0.4855,0.3656,0.9855,0.6186,1.4394,3.8946,0.1026,0.0844,0.1813,6.4306,0.2249,7.5626,0.5150
161,0.2233,0.4018,0.9682,0.6700,1.3992,3.6625,0.1047,0.0912,0.2035,6.3054,0.1622,7.3600,0.4976
162,0.4795,0.3467,0.8605,0.6553,1.1529,3.4949,0.1071,0.0895,0.1974,6.5811,0.2876,7.8670,0.4442
163,0.4922,0.5169,1.1192,0.6859,1.2687,4.0829,0.1215,0.0847,0.1740,6.7351,0.2844,7.9734,0.5121
164,0.4848,0.3885,1.3738,0.6506,1.3197,4.2173,0.1040,0.0871,0.1797,6.7453,0.2525,7.9365,0.5314
165,0.5380,0.3685,0.8943,0.6684,1.5698,4.0392,0.1128,0.0920,0.1897,6.2124,0.2772,7.5483,0.5351
166,0.5075,0.3873,0.9036,0.6649,1.2545,3.7178,0.1019,0.0872,0.1982,6.8763,0.3970,8.2657,0.4498
167,0.5131,0.3313,1.3925,0.6866,1.2671,4.1907,0.0984,0.0897,0.1725,6.8141,0.3687,8.1781,0.5124
168,0.2815,0.3577,1.0118,0.6524,1.3862,3.6895,0.1017,0.0882,0.2001,6.9228,0.3217,8.2773,0.4457
169,0.5069,0.3333,0.8730,0.6749,1.4969,3.8850,0.1124,0.0914,0.1885,6.1464,0.3752,7.5380,0.5154
170,0.1917,0.4596,1.0292,0.6725,1.5475,3.9006,0.1020,0.1042,0.1818,6.8421,0.3011,8.0984,0.4816
171,0.2118,0.3841,1.6459,1.0450,2.5145,5.8013,0.1516,0.0980,0.1911,6.9415,0.3283,8.3555,0.6943
172,0.1016,0.1343,0.4475,0.4693,1.3222,2.4749,0.1095,0.0941,0.2117,6.2854,0.1976,7.4524,0.3321
173,0.2706,0.3477,0.8443,0.6581,1.3954,3.5161,0.1116,0.0995,0.2547,6.3980,0.4149,7.9267,0.4436
174,0.1885,0.3536,1.3447,0.6879,2.4139,4.9888,0.1021,0.0892,0.1806,6.5986,0.3245,7.8795,0.6331
175,0.2708,0.3800,1.0252,0.6585,1.4770,3.8115,0.1066,0.0909,0.2009,6.5070,0.4532,7.9706,0.4782
176,0.2789,0.3930,0.9565,0.6675,1.4333,3.7293,0.1129,0.0953,0.2169,6.9240,0.2969,8.2525,0.4519
177,0.2748,0.3244,1.0323,0.6618,1.2976,3.5909,0.1155,0.0971,0.1929,6.3287,0.2967,7.6462,0.4696
178,0.5024,0.3284,1.0897,0.5033,1.4329,3.8567,0.1088,0.1168,0.1914,6.7322,0.3707,8.1627,0.4725
179,0.4804,0.3491,1.1763,0.6786,1.4768,4.1612,0.1333,0.0921,0.1846,7.1822,0.3324,8.5536,0.4865
180,0.3122,0.3408,0.8725,0.6620,1.2766,3.4641,0.1122,0.1166,0.1839,5.5048,0.2449,6.7234,0.5152
