frame,cpu_grayscale_ms,cpu_blur_ms,cpu_equalize_ms,cpu_morphology_ms,cpu_canny_ms,cpu_total_ms,gpu_grayscale_ms,gpu_blur_ms,gpu_equalize_ms,gpu_morphology_ms,gpu_canny_ms,gpu_total_ms,speedup
643,0.1366,0.0934,0.2210,0.1752,0.3835,1.0098,0.1013,0.0712,0.1439,5.6573,0.1653,6.5975,0.1531
644,0.4308,0.3266,0.8351,0.6505,1.3031,3.5461,0.0941,0.0826,0.1693,6.5249,0.3702,7.7773,0.4559
645,0.4793,0.6008,0.8775,0.4780,1.5448,3.9804,0.1284,0.0860,0.1715,6.9454,0.2720,8.1329,0.4894
646,0.1755,0.3576,0.7424,0.6382,1.3399,3.2536,0.0883,0.0834,0.1679,6.1588,0.3350,7.3424,0.4431
647,0.0540,0.0952,0.2543,0.1755,1.3469,1.9259,0.0812,0.0671,0.1397,6.0297,0.2643,7.0089,0.2748
648,0.1124,0.1176,0.1289,0.1065,0.1992,0.6646,0.0358,0.0238,0.0864,4.4186,0.1560,4.9059,0.1355
649,0.0974,0.0713,0.1988,0.1292,0.2860,0.7826,0.0343,0.0250,0.0836,4.7465,0.1600,5.2511,0.1490
650,0.4556,2.5745,0.5914,0.4747,1.2504,5.3464,0.0693,0.0559,0.1244,5.7776,0.2658,6.6541,0.8035
651,0.1914,0.1465,0.3976,0.2341,0.7173,1.6869,0.1174,0.1953,0.0704,3.9861,0.2286,5.3143,0.3174
652,0.0552,0.0984,0.2936,0.2639,0.3410,1.0520,0.0576,0.0387,0.0664,5.0109,0.1565,5.5935,0.1881
653,0.6923,0.4142,0.8051,0.6535,3.7842,6.3493,0.0927,0.0860,0.2148,6.7710,0.2291,7.8844,0.8053
654,0.2130,0.1533,1.0077,0.6533,1.2927,3.3200,0.0902,0.0835,0.1875,6.3626,0.3313,7.5779,0.4381
655,0.1031,0.1689,0.3208,0.5228,1.6487,2.7644,0.0950,0.0814,0.1658,7.1220,0.2428,8.2163,0.3364
656,0.2074,0.1298,0.3245,0.6384,1.3117,2.6118,0.0957,0.0879,0.1935,6.0935,0.1970,7.1287,0.3664
657,0.1939,0.2649,0.7321,0.6376,1.4528,3.2814,0.1136,0.0874,0.1737,6.6906,0.2733,7.8565,0.4177
658,0.5203,0.3374,0.7606,0.6534,1.2522,3.5239,0.0930,0.1020,0.1719,6.4352,0.3767,7.7332,0.4557
659,0.3965,0.3172,0.7432,0.6333,1.4363,3.5267,0.0933,0.0823,0.1694,6.8037,0.4840,8.2253,0.4288
660,0.4117,0.3247,1.0636,0.6694,1.7706,4.2400,0.0940,0.1039,0.1704,6.6901,0.3498,7.9651,0.5323
661,0.1994,0.2966,0.8857,0.6857,1.4270,3.4944,0.1149,0.0960,0.1924,6.7718,0.2299,8.0078,0.4364
662,0.1811,0.1049,0.3300,0.4708,1.4975,2.5844,0.1114,0.0817,0.1728,6.0391,0.2313,7.1217,0.3629
663,0.3197,0.2382,0.8414,0.6928,1.4051,3.4972,0.0975,0.0832,0.1706,6.9994,0.5054,8.5020,0.4113
664,0.2564,0.1639,0.5353,0.6330,1.6908,3.2794,0.0946,0.0817,0.1752,6.5951,0.2935,7.7348,0.4240
665,0.0971,0.0673,0.1351,0.1010,0.2183,0.6188,0.0283,0.0202,0.0872,3.3665,0.1479,3.8013,0.1628
666,0.4635,0.7036,0.9767,0.6315,1.4061,4.1814,0.1118,0.0837,0.1749,6.5193,0.3011,7.7443,0.5399
667,0.1490,0.3728,1.4721,0.6155,1.4873,4.0967,0.1027,0.1058,0.1732,6.7805,0.4662,8.1996,0.4996
668,0.2748,0.3508,1.0381,0.6882,1.3848,3.7366,0.1322,0.0965,0.1897,6.2612,0.2450,7.5120,0.4974
669,0.1462,0.3163,0.9335,0.6334,2.2005,4.2298,0.1071,0.1005,0.1819,6.1646,0.2360,7.3379,0.5764
670,0.1536,0.1963,0.6578,0.6127,1.3798,3.0002,0.0953,0.0843,0.1695,5.8892,0.2338,6.9648,0.4308
671,0.0855,0.1538,1.5056,0.6732,1.6138,4.0319,0.1106,0.0836,0.1642,6.3884,0.2190,7.5157,0.5365
